date,confirmed,active,cured,deaths
2020-03-31,1359,1200,124,35
2020-04-30,33050,23651,8325,1074
2020-05-31,176652,84504,86984,5164
2020-06-30,559836,208121,334822,16893
2020-07-31,1638870,545318,1057805,35747
2020-08-31,3621245,781975,2774801,64469
2020-09-30,6225763,940441,5187825,97497
2020-10-31,8137119,582649,7432829,121641
2020-11-30,9431691,446952,8847600,137139
2020-12-31,10266674,257656,9860280,148738
2021-01-31,10746183,168784,10423125,154274
2021-02-27,11079979,159590,10763451,156938
2021-03-31,12149335,552566,11434301,162468
2021-04-30,18762976,3170228,15384418,208330
2021-05-31,28047534,2026092,25692342,329100
2021-06-30,30362848,537064,29427330,398454
2021-07-31,31575929,396745,30755519,423665
2021-08-31,32768880,370640,31959680,438560
2021-09-30,33739980,277020,33014898,448062
2021-10-31,34273300,159272,33655842,458186
2021-11-30,34587822,100543,34018299,468980
2021-12-31,34838804,91361,34266363,481080
2022-01-31,41302440,1831268,38976122,495050
2022-02-28,42924130,102601,42307686,513843
2022-03-31,43024440,14266,42489004,521170
2022-04-30,43075864,18684,42533377,523803
2022-05-31,43158087,17883,42615574,524630
2022-06-30,43452164,104555,42822493,525116
