,date,region,confirmed,active,cured,deaths
4,2020-03-31,Andaman and Nicobar Islands,10,10.0,0.0,0.0
34,2020-04-30,Andaman and Nicobar Islands,33,18.0,15.0,0.0
65,2020-05-31,Andaman and Nicobar Islands,33,0.0,33.0,0.0
95,2020-06-30,Andaman and Nicobar Islands,90,44.0,46.0,0.0
126,2020-07-31,Andaman and Nicobar Islands,471,266.0,201.0,4.0
157,2020-08-31,Andaman and Nicobar Islands,3104,473.0,2586.0,45.0
187,2020-09-30,Andaman and Nicobar Islands,3821,181.0,3587.0,53.0
218,2020-10-31,Andaman and Nicobar Islands,4317,182.0,4076.0,59.0
248,2020-11-30,Andaman and Nicobar Islands,4704,106.0,4537.0,61.0
278,2020-12-31,Andaman and Nicobar Islands,4941,59.0,4820.0,62.0
306,2021-01-31,Andaman and Nicobar Islands,4994,4.0,4928.0,62.0
333,2021-02-27,Andaman and Nicobar Islands,5017,3.0,4952.0,62.0
361,2021-03-31,Andaman and Nicobar Islands,5081,43.0,4976.0,62.0
391,2021-04-30,Andaman and Nicobar Islands,5875,165.0,5643.0,67.0
421,2021-05-31,Andaman and Nicobar Islands,6984,187.0,6683.0,114.0
450,2021-06-30,Andaman and Nicobar Islands,7466,42.0,7296.0,128.0
477,2021-07-31,Andaman and Nicobar Islands,7535,8.0,7398.0,129.0
508,2021-08-31,Andaman and Nicobar Islands,7565,5.0,7431.0,129.0
537,2021-09-30,Andaman and Nicobar Islands,7620,9.0,7482.0,129.0
568,2021-10-31,Andaman and Nicobar Islands,7651,4.0,7518.0,129.0
595,2021-11-30,Andaman and Nicobar Islands,7683,8.0,7546.0,129.0
621,2021-12-31,Andaman and Nicobar Islands,7720,9.0,7582.0,129.0
652,2022-01-31,Andaman and Nicobar Islands,9777,402.0,9246.0,129.0
679,2022-02-28,Andaman and Nicobar Islands,10017,10.0,9878.0,129.0
710,2022-03-31,Andaman and Nicobar Islands,10033,1.0,9903.0,129.0
736,2022-04-30,Andaman and Nicobar Islands,10035,1.0,9905.0,129.0
765,2022-05-31,Andaman and Nicobar Islands,10046,3.0,9914.0,129.0
794,2022-06-30,Andaman and Nicobar Islands,10157,42.0,9986.0,129.0
814,2020-03-31,Andhra Pradesh,40,39.0,1.0,0.0
844,2020-04-30,Andhra Pradesh,1332,1014.0,287.0,31.0
875,2020-05-31,Andhra Pradesh,3569,1220.0,2289.0,60.0
905,2020-06-30,Andhra Pradesh,13891,7479.0,6232.0,180.0
936,2020-07-31,Andhra Pradesh,130557,69252.0,60024.0,1281.0
967,2020-08-31,Andhra Pradesh,424767,99129.0,321754.0,3884.0
